P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P_dyn upstream
482.453,154.741,-144.434,-265.703,-261.4,-215.924,-162.572,-102.914,-664.856,-371.547,-188.535,-54.7956,827.603
501.193,158.061,-143.523,-267.189,-257.842,-216.875,-165.337,-101.836,-667.818,-371.921,-187.798,-54.6181,825.18
483.821,161.754,-142.248,-266.634,-258.967,-222.769,-169.029,-101.296,-665.649,-378.322,-188.535,-52.6324,819.936
470.739,165.071,-144.253,-269.98,-259.154,-223.151,-164.785,-98.7814,-659.921,-375.686,-186.138,-53.1748,807.222
479.915,156.214,-142.429,-267.189,-258.03,-221.629,-162.572,-103.272,-668.611,-376.817,-188.167,-53.3556,807.827
487.723,158.798,-143.343,-265.703,-257.283,-221.247,-163.496,-100.218,-661.302,-373.052,-188.535,-53.8948,789.268
485.379,160.461,-141.883,-267.935,-259.529,-222.96,-162.388,-101.836,-668.611,-373.993,-189.087,-55.3414,818.318
480.891,159.538,-140.061,-266.634,-258.592,-222.197,-160.912,-100.938,-662.686,-380.206,-188.167,-54.4373,820.337
478.547,157.322,-142.248,-265.887,-257.096,-220.678,-162.572,-98.0614,-665.251,-377.379,-188.167,-52.994,795.117
475.424,156.401,-145.529,-270.539,-262.149,-226.573,-167.921,-104.712,-666.434,-379.45,-189.827,-56.7814,792.697
479.326,163.598,-137.694,-266.449,-256.534,-220.866,-159.067,-99.679,-662.686,-379.075,-183.926,-50.1074,790.074
477.765,157.877,-140.791,-265.516,-256.718,-222.391,-162.94,-101.116,-657.354,-375.498,-192.036,-53.5332,800.16
485.77,152.341,-144.072,-269.793,-257.655,-223.723,-163.496,-102.375,-667.424,-375.123,-189.827,-54.4373,823.97
501.778,162.122,-144.253,-267.005,-258.22,-220.488,-163.864,-97.1639,-656.759,-371.168,-183.373,-49.565,807.627
488.114,159.354,-140.246,-268.491,-259.342,-223.338,-162.94,-100.576,-668.216,-381.521,-191.3,-54.4373,778.172
501.972,155.661,-142.429,-268.491,-260.463,-221.819,-161.096,-103.453,-657.748,-378.135,-187.983,-55.6998,783.821
493.97,156.585,-140.972,-264.217,-256.159,-217.634,-159.988,-100.037,-656.759,-374.936,-185.954,-52.6324,830.427
489.485,157.654,-143.168,-266.745,-257.51,-223.72,-161.77,-104.269,-659.938,-377.908,-188.512,-53.5003,828.757
491.425,159.495,-142.083,-263.412,-257.145,-224.232,-156.98,-99.771,-659.165,-378.631,-187.236,-54.0625,818.657
500.21,150.082,-145.545,-274.573,-262.202,-227.461,-162.697,-99.5902,-662.325,-378.444,-188.893,-57.4883,828.944
498.842,158.571,-144.815,-266.946,-259.391,-222.901,-156.796,-108.756,-661.141,-375.245,-187.052,-53.7009,828.743
505.089,153.406,-144.086,-265.644,-257.145,-220.047,-156.612,-102.286,-660.155,-376.373,-186.497,-53.7009,817.848
488.69,153.958,-144.631,-268.994,-265.197,-228.414,-166.202,-102.109,-664.301,-383.902,-190.369,-54.9633,792.425
489.863,153.774,-143.54,-269.734,-265.009,-222.52,-160.856,-101.03,-664.301,-376.182,-188.341,-50.2751,814.62
491.425,160.047,-145.726,-265.644,-253.775,-217.766,-164.541,-105.34,-661.93,-377.5,-182.808,-57.6691,825.919
489.863,158.571,-138.618,-265.272,-260.515,-222.138,-160.669,-102.825,-662.128,-374.676,-189.446,-48.8285,811.595
483.028,156.911,-142.626,-273.455,-263.135,-225.373,-164.541,-101.389,-666.671,-378.253,-184.284,-54.0625,826.12
491.619,159.863,-146.272,-269.734,-260.328,-219.097,-164.357,-102.286,-665.882,-369.975,-187.969,-52.9809,823.496
496.695,157.095,-147.547,-268.432,-258.079,-221.948,-163.249,-103.364,-670.225,-373.549,-187.42,-52.9809,823.095
513.288,159.127,-144.815,-268.619,-262.761,-225.942,-166.938,-96.8943,-662.128,-376.751,-188.893,-53.8784,811.595
489.084,159.863,-144.631,-270.109,-263.323,-223.279,-166.938,-100.488,-661.338,-373.739,-187.785,-53.3392,823.296
480.885,152.666,-146.637,-268.807,-263.51,-221.757,-168.97,-103.003,-662.325,-375.995,-189.817,-54.6017,820.873
484.396,159.679,-142.445,-266.39,-256.771,-223.66,-159.748,-99.4094,-660.549,-373.927,-185.944,-56.5874,817.648
494.939,160.231,-142.994,-269.734,-258.645,-223.851,-161.777,-101.208,-656.203,-370.537,-186.865,-48.6477,817.243
488.104,161.339,-142.994,-267.876,-260.328,-224.042,-161.961,-106.958,-664.103,-368.469,-189.817,-51.5376,821.073
484.787,158.203,-148.097,-270.852,-259.953,-222.138,-164.541,-104.262,-663.709,-375.807,-186.128,-54.6017,822.688
490.251,154.511,-142.813,-267.317,-256.208,-217.003,-161.224,-97.4335,-664.498,-375.995,-187.601,-52.8,822.891
499.052,154.35,-145.881,-269.346,-260.075,-225.774,-164.571,-103.568,-665.077,-376.777,-186.661,-54.7595,825.788
491.425,155.267,-143.52,-273.081,-255.403,-223.052,-159.968,-104.459,-662.131,-374.302,-186.118,-55.8609,817.911
491.819,157.664,-146.071,-269.175,-264.013,-223.624,-164.209,-104.821,-671.81,-376.373,-189.071,-51.3502,819.926
485.961,159.692,-140.604,-265.641,-256.34,-218.108,-160.521,-98.1699,-663.318,-371.856,-188.334,-50.2685,822.145
480.691,156.927,-141.15,-268.245,-260.085,-224.765,-163.841,-100.685,-659.169,-376.56,-188.518,-53.8751,830.621
477.567,156.187,-143.52,-268.8,-259.335,-221.721,-161.625,-97.9924,-661.934,-372.421,-187.411,-52.4318,828.198
485.961,157.48,-147.347,-267.873,-259.148,-222.293,-165.501,-102.483,-662.525,-374.676,-189.439,-54.4176,828.402
487.72,160.8,-142.974,-267.314,-266.262,-216.017,-162.181,-102.845,-661.342,-375.058,-188.518,-53.8751,825.982
471.906,161.168,-141.88,-270.848,-253.72,-223.243,-161.809,-99.0707,-660.553,-378.253,-185.014,-58.3858,821.34
472.882,165.413,-141.334,-265.828,-257.464,-221.343,-153.511,-99.0707,-656.404,-376.373,-183.906,-50.4493,794.907
487.914,157.851,-144.615,-271.404,-260.272,-221.721,-161.994,-106.258,-662.328,-379.759,-185.75,-54.4176,806.407
