P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P_dyn upstream
676.705,-683.586,-519.544,-669.087,-444.947,-307.828,-179.329,-95.1979,286.642,12.4143,-11.1682,-41.9639,820.13
672.602,-686.167,-521.734,-674.298,-458.607,-313.914,-180.802,-92.3244,287.632,9.96822,-8.95233,-41.9639,813.068
664.399,-676.028,-518.272,-672.438,-447.942,-313.914,-184.494,-100.409,272.614,-5.66137,-24.0756,-66.6773,798.74
663.817,-676.396,-520.458,-673.74,-457.299,-316.764,-189.656,-100.05,276.96,-1.7063,-19.463,-58.0176,827.192
672.02,-676.932,-516.635,-673.904,-460.281,-313.917,-186.372,-102.283,262.711,-1.57808,-23.3129,-54.8022,811.838
680.21,-690.217,-524.114,-673.549,-456.549,-315.186,-183.61,-96.1677,283.437,2.59397,-16.6817,-56.0844,836.44
687.433,-672.885,-513.367,-659.974,-454.304,-307.009,-178.813,-95.9869,269.412,4.47781,-17.4214,-55.1803,825.949
679.624,-688.741,-523.749,-674.104,-452.805,-312.908,-177.524,-92.7518,297.071,18.4077,-3.21863,-33.3567,851.172
663.42,-687.265,-521.017,-671.501,-454.488,-312.523,-178.629,-89.5168,300.628,13.1375,-9.49151,-43.9989,838.255
674.936,-685.605,-518.65,-678.941,-458.233,-314.808,-181.953,-94.3694,289.762,7.67672,-8.01535,-44.1797,838.863
685.871,-686.897,-517.375,-672.431,-454.488,-310.435,-183.426,-95.8094,281.859,9.18247,-9.49151,-43.6373,840.678
669.469,-698.512,-525.387,-682.287,-467.777,-320.893,-189.146,-99.3995,286.399,1.27562,-17.9737,-61.1343,849.153
675.525,-683.576,-529.213,-670.761,-462.724,-318.612,-190.807,-104.433,276.523,-7.75891,-19.8181,-62.0384,832.606
673.181,-683.392,-525.025,-676.337,-464.594,-319.18,-192.464,-101.915,273.561,-7.94959,-25.7195,-63.6592,831.397
671.813,-672.885,-522.658,-664.439,-452.055,-309.294,-184.718,-101.02,265.065,-10.3956,-24.7956,-63.3009,836.239
